,,total_passengers,total_passengers,total_passengers,total_passengers,total_passengers,total_passengers,total_passengers,total_passengers,avg_price,avg_price,avg_price,avg_price,avg_price,avg_price,avg_price,avg_price
,,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max
origin_state,destination,,,,,,,,,,,,,,,,
CA,"New Orleans, LA",30.0,4010.5,1251.2434849463511,2407.0,3234.25,3629.0,4524.0,6831.0,30.0,339.21141291135007,47.85224674318009,253.55452501119296,293.136748982133,349.8905700836478,376.490563706908,412.21015722412
CA,"New York City, NY (Metropolitan Area)",30.0,40257.4,9550.442631374339,16953.0,32828.5,40661.5,47755.75,57288.0,30.0,506.7050497130643,87.18627466604077,392.9043735422355,446.966979722427,490.19441358215005,527.8844786983489,713.670143041921
CA,"Norfolk, VA (Metropolitan Area)",30.0,1248.0666666666666,269.45998785992555,654.0,1031.0,1290.0,1423.0,1698.0,30.0,421.6512133856428,73.57864209367189,331.9114475447788,366.9224264913256,406.3467342844648,453.7667800603002,572.3954448329448
CA,"Oklahoma City, OK",30.0,1611.0666666666666,253.02908832825898,888.0,1538.75,1595.5,1707.75,2126.0,30.0,331.1244725761357,29.728898377373262,268.2808758125214,312.54980055412216,331.1383545376845,343.0619944899312,386.3536736194678
CA,"Omaha, NE",30.0,1871.4333333333334,305.4601597514843,851.0,1870.5,1951.5,2029.75,2148.0,30.0,290.69159075624725,22.095230859250787,235.7531665864999,277.6463860938506,291.8645446211939,310.0962366828626,326.95463986893685
CA,"Orlando, FL",30.0,7799.966666666666,2423.389994989682,3847.0,6096.5,7394.5,9285.5,12293.0,30.0,359.829257438788,71.24745000092999,225.4878479003295,306.3315021276572,366.6522790045956,405.4251765204148,523.2835813621003
CA,"Pasco/Kennewick/Richland, WA",13.0,362.53846153846155,183.7446667636984,176.0,183.0,369.0,481.0,728.0,13.0,211.9656252216731,10.964071203191388,186.01314454589559,205.95593009601433,212.2437490046186,219.2112676056338,226.85333333333332
CA,"Pensacola, FL",2.0,185.0,31.11269837220809,163.0,174.0,185.0,196.0,207.0,2.0,308.66303201247473,37.42287401504083,282.2010640249495,295.4320480187121,308.66303201247473,321.89401600623734,335.12499999999994
CA,"Philadelphia, PA",30.0,6991.6,1716.7581839236896,3401.0,5946.5,7301.5,8308.5,9930.0,30.0,437.5919263834182,114.28086195142643,309.3963391258714,363.1445736837783,399.89928087697035,461.78434934432494,701.4577232999361
CA,"Phoenix, AZ",30.0,18764.2,4207.278827346065,8096.0,16088.5,19102.5,21197.0,27027.0,30.0,177.72890935275063,22.065820532745423,145.73553821021386,158.0646695227193,178.10042878814613,192.80057738929028,220.05869059598857
CA,"Pittsburgh, PA",30.0,2404.8,530.5151952713449,1186.0,1991.0,2540.0,2783.0,3242.0,30.0,398.0503834278823,104.86153149617758,259.7476679403163,321.7791677551705,364.90774758590965,440.81969134296793,610.3008941054834
CA,"Portland, OR",30.0,13895.566666666668,3675.4792573573814,7459.0,11654.0,12580.5,15812.75,22096.0,30.0,231.31427126396605,26.879650723704444,181.58871076274335,209.04465605452262,238.23609258739242,253.99864477901505,273.354197541292
CA,"Provo, UT",3.0,1559.0,598.2206950616136,1123.0,1218.0,1313.0,1777.0,2241.0,3.0,99.00265017657784,6.408197316887099,92.36922988538764,95.92449808637969,99.47976628737172,102.31936032217294,105.15895435697415
CA,"Raleigh/Durham, NC",30.0,2653.0,753.3688934746194,1208.0,2287.5,2579.5,3232.25,3867.0,30.0,393.3282280090932,88.38111058209833,281.0476684682097,341.8383134672982,375.58162803023174,408.19719945777535,658.776319391635
CA,"Reno, NV",30.0,4843.066666666667,1285.4025515534927,1698.0,3906.0,5052.0,5646.25,7216.0,30.0,187.67907237407707,24.676568009678412,139.89434815674662,171.00107242008244,186.16750900746342,204.65629331278035,234.0643532101738
CA,"Richmond, VA",30.0,788.8333333333334,376.52092338557554,162.0,532.25,899.5,1024.25,1437.0,30.0,457.6293981217952,111.40447209347023,289.3649922666956,387.6198553902274,438.2951947568698,483.7570666892349,744.8
CA,"Rochester, NY",19.0,445.42105263157896,209.04579928530114,153.0,342.0,359.0,607.5,806.0,19.0,489.7577027262151,145.96044683762912,343.70024104683193,399.7539025300123,422.64406216238683,550.9794007325122,777.3217391304348
CA,"Sacramento, CA",30.0,20048.433333333334,4799.006633441559,8214.0,19505.5,20588.5,22555.75,27514.0,30.0,175.05863832183803,18.12323766506592,148.7059779367919,161.68446779482008,165.613445112446,187.96149850503642,210.65593793453323
CA,"Salinas/Monterey, CA",8.0,363.125,252.01838793457682,158.0,176.0,262.5,463.25,769.0,8.0,216.1223467041589,23.51338261985453,188.79220779220776,200.50623513297515,215.8559231662777,224.0658555812487,263.18333333333334
CA,"Salt Lake City, UT",30.0,13217.9,2649.709513681934,7494.0,12034.25,12761.5,14541.25,18205.0,30.0,205.39858944725856,17.51508313741448,174.97255829015543,191.74636118285957,201.27906618677406,219.28640298354173,236.59345523727544
CA,"San Antonio, TX",30.0,3591.4333333333334,864.4423629430563,2029.0,2944.25,3373.0,4067.5,5568.0,30.0,299.97583902144817,38.959506424623775,226.51678369056415,266.36292093606335,312.04529299607776,319.72243208858106,382.89833757429733
